,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
,22,138.409123180071,139.133089802847,319.646264632512,306.150103269602,570.653416961238,526.934959876849,92.3011257781109,97.0009229436,339.868926343046,334.807312776314,352.984381121529,338.200312278543,297.030307102941,301.420435295771,133.856691212272,168.018448930889,129.37035705739,117.916721659815,184.750028109077,183.054343905495,547.035044187991,521.577923652377,288.680273017651,278.934683845549,97.7416980075914,80.8293201534289,459.957968785312,412.116583526584,523.276171464388,523.89014759269,317.287046438301,308.042358438903,5.22201873268841,2.90920811479464
,23,325.301532665122,334.86390551457,667.988788459766,667.442289475455,1156.63196989006,1072.98931822888,214.762581390991,225.47098246501,741.65964753763,728.741654569131,748.077309596198,725.695879188003,632.003220675561,643.24248673681,323.47533245349,376.514528526587,305.216783044893,292.125314656435,404.808957273195,394.368339584194,1111.34911896828,1057.97204335948,630.147355256751,603.796235839256,224.801081984569,193.302757109134,944.464830033632,846.254780361865,1078.75233320913,1063.26323881922,682.603957657141,662.343630303024,-0.399333185515388,-0.212947336939578
,24,703.756458365824,712.056406963961,1367.93388240782,1349.76647953835,2261.26381839635,2097.51390252223,472.469374871251,492.801284551029,1498.39502039775,1472.0715180356,1514.39252240461,1473.3017251603,1298.50239750165,1311.06506441278,697.738550426414,775.731780584142,658.569755233211,621.352550930979,840.822698828962,829.948651366819,2182.08896974405,2071.02111960496,1282.03283099575,1237.25058340117,481.714067977582,419.179541131736,1849.91337739036,1678.59878129309,2100.6256038369,2097.05733880181,1395.63343963151,1344.48845761107,-4.11132188828287,-3.48980992655652
,25,1393.27739023788,1439.00057789249,2618.39313047631,2586.66678163432,4124.9570860678,3832.93108648203,958.361232675573,998.731542993191,2841.2379305592,2786.57135488337,2885.22586291337,2808.41160956828,2484.85002271865,2505.77259373274,1399.28108044778,1513.32470580576,1316.15042068042,1250.73214894588,1642.57663316546,1613.72637784696,3988.62692441909,3795.0307900929,2463.14337505051,2372.05255527172,969.018736912432,857.184949991857,3460.3647465418,3158.73481252215,3875.64246724801,3882.91398273673,2666.55192483549,2569.8230923174,-2.96530486794654,-2.12052135341673
,26,2657.5478113362,2746.31161870412,4741.5583808708,4663.67529045559,6995.65656646493,6519.77055252651,1863.18080338371,1940.89466504826,5098.36493690292,4982.2858168451,5148.63532191366,5015.40833399614,4487.71640232565,4551.5160003936,2662.8056697196,2839.52840371129,2522.85266238339,2402.59354195088,3063.13193367626,3011.00702749599,6764.27344611252,6465.10945559031,4494.44932035086,4332.89326510634,1890.85110186382,1676.01498165427,6091.74563179003,5572.3156584062,6646.41116116136,6718.57621135607,4819.86885296111,4640.72306662425,-3.1463325509585,2.16911210112085
,27,5058.80046234895,5247.9029594611,8284.13649457338,8127.03645033304,11036.2184942072,10402.2307859396,3706.63123430151,3858.3736672292,8731.2467492706,8510.17172833468,8791.47670664801,8638.43071935392,7795.1284458537,7973.69363051121,5062.09019924303,5315.31909487525,4839.44995200603,4630.22908308821,5697.14470459915,5601.24764380073,10641.7175286016,10193.7981940613,7944.9654277688,7650.47914771399,3742.36830282401,3314.54811077995,10191.1562533036,9371.98448434426,10694.1879182865,11009.5169664805,8469.63334998293,8134.19396246809,-5.27355986578459,-8.47683469028016
,28,7796.98921909055,8133.62216313578,11482.5704324804,11175.4712891381,13748.657455845,13049.2206244327,5967.62208639323,6223.43961203168,11796.5795959918,11503.1211541531,11904.4759626766,11778.9503657063,10839.2223187208,11168.3851149772,7841.40037467777,8065.16869658838,7482.31651843188,7169.68920290613,8455.87266440041,8355.27513924455,13306.4079021235,12838.153600407,11306.1848560051,10793.0517410376,6236.25947084366,5571.71682464131,13541.4381136523,12505.8162788963,13603.7835388822,14189.540668849,11800.6451324534,11358.4350893898,6.88530906009964,0.855221631559289
,29,11089.9594125077,11795.1869843113,14486.816642417,14036.0482804311,16174.3424690349,15433.6153235376,9290.76624633624,9698.47051624222,14636.0415760142,14245.4897072464,14770.591204723,14681.9594631746,13684.0190817648,14156.2701656518,11234.4041140231,11333.9206978483,10824.4442064464,10469.2012452808,11588.1696282779,11486.723078513,15648.5082554109,15146.5883625998,14487.4037231111,13816.1302250979,9972.77221794108,8996.43235762802,16568.0793930501,15361.4733594232,16203.7933296003,17064.7609071395,14948.1779061319,14390.5139808971,-3.26138036811517,0.189988050927241
,30,13841.9803191182,14863.0576842283,16871.9449685605,16297.8731903106,18000.1357945237,17240.1408066833,12564.3632368879,13085.6628663208,16856.3419534221,16377.9506912898,17011.7853885869,16959.2905616038,15934.1915316172,16522.9386440439,14049.9316302867,14015.6119532645,13598.4520732869,13222.6023847207,14133.3496559122,14038.2966175054,17391.4793473483,16868.4723670452,17050.9509650215,16209.9400522252,13881.148469314,12708.3959150941,18870.6217035729,17547.5642775507,18158.5413180154,19241.3581942792,17432.8551230417,16799.2544796788,-6.43169871182909,-5.39941594904485
,31,15968.8347031809,17247.214383806,18544.3150701465,17880.2646690485,19232.8769180896,18457.0938602625,15166.0700778557,15779.3062312919,18401.5959485786,17852.3104909939,18566.1174273421,18544.2265737954,17517.1855519446,18180.2098940579,16202.8072005938,16034.7247059915,15731.5501509544,15365.1076263662,16028.1929254054,15937.8671190569,18566.2880294025,18026.5281370742,18863.1974528272,17896.3176851019,17039.9128979608,15752.6238357289,20456.0456271802,19057.8667955433,19485.6229437,20726.1983874386,19177.3924252094,18486.198980634,-2.500801360281,2.72653119117876
,32,17342.8546895995,18786.9883024044,19566.2734947388,18853.6646565002,19964.7801827225,19189.0423298218,16929.4376850752,17611.3381794088,19338.5850141603,18751.6178602531,19520.0158407324,19514.8148440933,18491.098371921,19202.2003979478,17579.4897850718,17323.3446566495,17091.3775062404,16743.5954025715,17219.1972547334,17141.1403523217,19275.4662497776,18729.5900755311,19983.0629220527,18938.0835170338,19247.3493059782,17942.6643912816,21427.8403922219,19982.5820406497,20289.290549464,21619.184411952,20243.7693332719,19521.3628859089,0.0347611654497086,2.50155293612079
,33,18349.5399071522,19909.6022676113,20276.8285382685,19524.1038244336,20455.0599746931,19679.6019356265,18255.9147656589,18987.1177076682,19984.5749211778,19359.7321027244,20167.5776949837,20180.8454914073,19162.036898525,19920.77937296,18580.6103976949,18263.7029088706,18089.2180761111,17764.9940542516,18086.2997476355,18012.530076844,19741.9002282917,19179.2480790043,20752.8666266002,19668.9561384048,20881.5073106458,19594.7115423871,22085.941175704,20630.6349419208,20832.344069657,22231.1280430612,21007.4791974931,20241.8788099073,-0.052964433386478,-5.13284718733212
,34,19001.2520162223,20620.0747642977,20709.1321187345,19935.0100201901,20741.9805684379,19973.1825699196,19122.6728097875,19889.3399441397,20365.0984639493,19725.0533499661,20552.2148057311,20577.1629216749,19574.6820346794,20351.5033791139,19219.1891873682,18852.598658939,18726.3163907598,18412.9416057098,18630.475554767,18558.7654823987,20002.4671245749,19428.8125743844,21212.656225015,20106.3683425401,21969.6862134715,20707.9654830738,22459.5726956536,21018.3977403326,21150.9110087913,22594.9354721004,21468.6966285773,20674.9962353072,0.679610426255749,-3.76948156595972
,35,19412.3865485593,21047.384074306,20970.7070278423,20166.8912288165,20915.9738288159,20135.6570480397,19639.0068085436,20428.1586507091,20588.3435737388,19948.0579284976,20780.0100907533,20814.510149835,19824.384486608,20619.6191788594,19602.9999713057,19209.5374533709,19108.0351808016,18805.4535875402,18951.7310496161,18885.9541763489,20154.2962572635,19580.9575016592,21484.2019070761,20371.9641339313,22628.7752559378,21396.278825934,22658.9310132373,21240.5315972645,21331.8618244426,22793.4843481926,21731.6808405504,20923.5996641526,-0.796719831899281,-7.58583845543035
,36,19690.4745725514,21336.1555623598,21144.0533986816,20326.5624861473,21026.5438709166,20238.9864041159,19967.0829467907,20777.6313585947,20738.8730171492,20099.4001772969,20938.7413741758,20975.314446565,19993.5391681259,20792.3207413387,19855.0928439848,19432.3022667673,19355.807655126,19052.2453018524,19164.6957587856,19094.4056576746,20257.3635406514,19682.4712936535,21672.963605653,20547.8284801475,23057.4249661131,21845.7170740848,22781.138830246,21378.0221263265,21445.2520230345,22908.1079782441,21886.3612799433,21086.3570816533,-1.49935125496631,-2.21288679059944
,37,19854.8119033633,21511.1044149104,21246.5866449379,20412.9247151301,21087.4022117279,20292.8133606755,20172.2920392909,20982.7107955399,20832.4126365463,20183.4254180368,21038.3452325434,21080.7088770945,20091.1803947839,20904.3852480321,20005.1442691365,19571.0869296257,19498.6760312877,19204.6264297072,19289.1393547504,19226.611192405,20327.6747126584,19756.3754366568,21791.1548670042,20653.1088172198,23319.3820258245,22124.3477844307,22860.7206710843,21466.6979039779,21516.0467943172,22978.1493621187,21976.8500902241,21186.5954477752,1.01077600654935,1.00869218962362
,38,19935.1652910797,21600.2873774245,21286.0427653235,20450.7283085196,21102.1341070507,20310.9212192925,20275.025852555,21087.346206558,20868.5927147516,20215.8578087359,21076.7015820638,21125.4583869263,20132.2020413111,20937.1804248943,20079.2994965733,19623.6730190037,19567.2418422112,19257.9182247316,19350.6795781132,19277.4293886813,20357.4066124902,19776.912685845,21859.474192329,20691.0259743243,23456.3465314158,22274.5490475672,22893.0698141222,21506.4483323395,21538.2251308144,22996.9239939871,22006.6235762718,21229.8172211304,-3.04198917737995,12.9717887378156
,39,19962.7721135912,21621.6086159428,21283.0741437024,20449.9526385307,21093.9443389385,20304.2373000917,20322.3181405526,21129.8461392001,20864.2171190963,20210.2303330943,21073.2324837657,21121.1743243111,20131.4129554704,20929.4203732901,20103.786187852,19641.4181788764,19585.4931227119,19278.4313483564,19361.0330891325,19295.585392208,20348.7825815322,19770.8598847128,21852.0022306154,20693.9478148849,23522.4789193221,22351.8940259325,22910.9505770346,21521.8114432192,21539.6569182635,22999.4773285069,22014.534183006,21232.6591867277,1.49444525993204,4.43832371400276
,40,19990.1921310912,21635.3543382236,21279.9809811865,20454.3889519304,21096.1473237341,20303.3457578,20347.3936072799,21163.5741702518,20864.2082761103,20207.624239882,21072.3337182053,21113.6707456905,20128.1149725611,20919.7010737228,20121.0834532111,19652.8471393074,19595.9330930403,19296.003090077,19362.6748865759,19303.987384346,20338.6060738434,19762.2878807332,21830.4355183635,20703.4576468625,23574.4322795165,22415.9066035153,22937.4475669207,21540.5053913526,21550.9452577812,23005.89344908,22026.2914859482,21235.1534476639,11.2589259128217,5.47199498715327
