,Cycle,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
,23,-4.43411222260238,-2.31548710373318,-3.38388948932334,-1.62058939088911,39.6163446423016,44.7241897226013,20.7706680732799,-0.769649701695926,0.0686197126733532,-2.5927591665386,-0.122517708699888,-18.311600022208,-35.1488265552944,-36.8967599991456,-1.21645652535881,-1.52290407605778,-22.6966696924292,-22.2238582234904,-19.1742014641322,-19.6627669838563,-36.7236341391317,-36.203880237962,-32.0232191834211,3.80268717109266,-19.7295221477352,-25.217977037958,-1.76852766513821,-25.0437640328555,0.443124123862617,0.0724958956925548,-23.6223310924606,-17.7559396694724,-8.12329803603097,-1.73508558901267
,24,37.2407110465747,37.5643475973193,30.1490383995542,36.8428009712861,132.231945493378,134.926003961245,82.9822456374177,43.1765715322863,36.6532319511862,38.8529575696448,33.8506012777088,0.241724857970439,-26.0283520933081,-19.8767139545689,46.5410573289255,38.3400216829696,7.0192858901637,3.20224657949075,2.98379480709082,1.45876560380384,-18.1271722662086,-21.6266770220682,7.99294933162673,23.4896829693444,-4.33497478839399,-16.9452695263699,45.4715962611717,2.81826090270988,46.6144102423223,43.0097181763922,6.35505224169174,2.84768225199969,4.38591366850414,-0.980686086407331
,25,103.647900863471,102.884746319516,113.935676458761,108.293453697108,318.255667540946,335.657800085952,183.76008640221,140.127030236004,120.546088107627,106.817829787847,94.5114333919109,44.3156830221142,1.64171093753248,3.08200004625724,142.829705062291,112.046909286163,56.4297701844926,59.7466068268604,56.4206624891976,50.546023451484,-0.664596095202796,-4.94939074279591,62.9419237564025,59.0884931915361,-2.60480804978488,-13.2132380500434,114.352124227098,62.3934753621861,137.21492998701,133.388893591771,46.480114347336,47.8015295191399,-3.79011486906893,-4.16146644696164
,26,227.856287558803,238.433005871346,257.193784749277,250.749826210009,650.973087502721,673.615312461295,384.481592458054,320.032879421291,263.399419959269,247.53427640364,213.514355153806,141.562365608876,65.1551718206683,60.4391289880678,306.020748803356,253.589553825916,157.160439538779,153.291963015678,144.584052529939,145.536211967276,59.5046552598978,61.4301358473167,186.660082260299,136.785593091027,31.7861115493488,7.72972310384921,268.293394591157,167.133730643067,305.603480179096,292.574788286921,136.203369371281,141.707318169526,3.34776614874954,2.79419678632621
,27,510.1937632189,519.514507108383,572.427608845196,551.097170814213,1372.18017886117,1436.59081005775,815.719023242556,710.375472310287,572.124356349274,551.96828756116,455.443655923274,344.497747667658,196.868140557856,187.862464131103,678.199657487061,562.173930325888,379.423775431834,371.092121367197,359.026392786361,361.95273096156,177.841234148473,183.308818014241,440.432564241586,299.817995007839,88.6957252906168,36.149498355051,594.368138753113,408.281069255147,687.849072680591,656.951170758645,323.974853707637,324.234864038033,0.424005204465175,-7.82288291748227
,28,1012.84284768315,1038.53993021774,1139.71541586883,1105.98475189054,2601.05399049703,2709.27010604893,1560.61617761365,1410.61629966339,1143.99108447064,1100.73854642097,907.837897318006,716.700296848909,441.859079131243,422.448726763055,1355.34692016939,1117.38325075323,777.805373660796,775.517423940402,750.204777331513,751.044159709165,410.610150106641,411.638434423302,909.599003858637,599.244036763434,195.161039355113,97.5558811551264,1188.94577704333,851.988771128707,1362.00334736306,1284.70423526157,683.459908794562,677.226571220288,-0.494390258951171,-3.28501150382363
,29,1856.938625267,1900.65533861779,2087.41256950383,2022.0705457717,4484.3573900332,4635.18498714425,2753.59079362166,2552.50422425433,2087.67932146099,2032.91702781008,1679.97007191584,1348.03427766868,877.367510254478,837.151605779009,2467.79135025031,2048.59710339012,1464.94389798853,1464.28174509874,1413.20483780297,1418.84600698965,808.757378917878,825.383869635785,1712.56182121919,1114.32698122945,384.805591334833,219.761035672331,2172.36310489463,1605.03233904407,2459.3958449074,2317.95507715008,1279.48525853855,1269.87345785152,-1.48289549708716,5.32648528203936
,30,3536.54955054926,3641.06168074808,3986.81013547253,3885.72812404541,7853.08391373436,8024.1531889973,5058.4091670273,4789.93205680517,3992.48316393096,3897.64960447252,3260.54149659866,2676.33003370312,1788.91645306405,1721.93832086815,4678.32408381507,3954.68093573018,2900.85228522116,2907.92809547694,2813.96740404752,2822.10870947592,1666.65202213336,1708.0426568252,3374.86395098062,2154.60511132497,802.218338571638,471.022846958938,4099.40600625264,3134.26090130239,4610.00065397525,4343.31394637162,2540.55877531983,2516.31410837385,2.26153271653857,1.27314910271252
,31,6076.03300728285,6282.02546222075,6853.53603176047,6697.89934823355,11619.4924628309,11658.9746218951,8137.82024246428,7977.22605023677,6877.85944390276,6764.71303360376,5786.68884563795,4847.65701460059,3397.94586001615,3283.69360813691,7954.90383122539,6905.34704311232,5263.39731382533,5324.1631677746,5152.00509520271,5151.44110703468,3169.64327727435,3261.63640572616,6048.4271228682,3824.39626311811,1569.31876256073,961.189525381717,6993.71256895368,5582.09232203942,7682.24018866474,7210.89979573446,4614.6821276595,4561.16933192907,0.517111554090661,5.74871665129922
,32,9180.94878478415,9571.95759222661,10375.536605835,10145.7140200742,14954.5032846026,14809.9627472926,11181.7404154303,11434.758891152,10461.2764395331,10383.7252159575,9208.48156434252,7899.67146706318,5936.32223002266,5766.43929671858,11817.7074971123,10687.6424783359,8587.11555255246,8791.4234546896,8543.30009744504,8513.22465726954,5570.09552663709,5734.31676097202,9735.6268579292,6074.77652273371,2901.73801412096,1821.27528568918,10491.1198014056,8901.93775566291,11023.695062924,10311.6963612287,7620.23160545686,7491.50801386639,-10.3293221057629,-0.0489703600369467
,33,11989.4365225513,12588.0372023674,13455.079992334,13191.2729709292,17521.9452179704,17183.0917283673,13743.5010280241,14432.4956935449,13666.0548703278,13738.6010409235,12795.0432151182,11356.2811721649,9509.10566930115,9365.45877148312,15211.8879151295,14256.6508534511,12283.2494105386,12822.4676757383,12550.6925528512,12417.0935075926,9056.45142572326,9324.38457149154,13613.1529233848,8594.52694549631,5111.44574852946,3366.27999877252,13557.3895563442,12358.8078074811,13898.9643296532,12961.3635729591,11082.7380711178,10833.5810223759,-6.75064493799164,-0.717669818969625
,34,14382.0970187507,15175.3039735647,16051.9014211379,15772.8017037836,19382.312626324,18887.3613017182,15730.3199373168,16855.9356146743,16393.4246187236,16601.5706045793,15986.5293445038,14497.8443312991,13183.1960138464,13191.0567541546,17995.5201159069,17317.5338798649,15627.6867257013,16524.1226554188,16271.1116753134,16011.8936498222,12760.9813648271,13139.3265380446,17029.4759047657,10547.1941801326,7992.21498010036,5625.40850731355,16134.6285208322,15411.9115768415,16190.8208198752,15067.3961696668,14255.7014804487,13869.2752519276,0.83697006710554,4.34501705965249
,35,16087.4375778242,17017.0316563573,17853.8797036158,17572.7110774399,20611.4634669077,20013.729785743,17080.8857350034,18536.7949932659,18325.0046262348,18642.567309779,18410.2777562169,16952.0501930668,16448.2558988855,16624.9495815692,19910.7345989738,19501.8136915327,18193.6432619607,19426.4775373015,19218.9131684082,18837.9967377973,16080.4880039866,16546.030863152,19576.4399624887,12243.5463961983,11585.7962558576,9271.26476504608,17942.6004733379,17695.6818971306,17752.4284918515,16497.9973058024,16724.7320814949,16217.1166395713,-1.12826308436161,-3.24896240550515
,36,17299.013181735,18327.0794261581,19116.373334184,18841.2405128193,21476.4728689728,20803.6943055061,18031.8715862601,19728.3967674739,19694.7522937018,20081.0181964981,20181.403693143,18762.4543948755,19040.161934554,19380.039017373,21225.9471767374,21020.4062381067,20054.7412665255,21543.3671527056,21389.3477095562,20904.3479971245,18734.0226759403,19253.265105406,21379.8944605442,13566.5585468103,14567.5024720037,12628.7523100955,19199.6518905787,19334.8409310078,18839.2491540343,17497.7458528339,18513.8746764671,17911.042007477,-6.91100318914596,-3.04844671183037
,37,18051.4496125318,19123.0306741234,19863.268559465,19587.9417679823,22007.3962295164,21284.2706583828,18621.3552082085,20457.2092295173,20531.8321530545,20957.0713789892,21311.6489105876,19918.2959330728,20744.6763483516,21188.5116870506,22012.3775565247,21927.7055075417,21187.8385367787,22843.0444004841,22721.4337716731,22172.1248505596,20466.2741173793,20999.0816242204,22490.5988391081,14491.1321411265,16709.9964912066,15456.9907595815,19986.558509496,20348.1689895155,19508.7538481788,18104.2058627004,19600.1128356199,18946.9905242635,2.70490812700973,-0.92789776585596
,38,18557.1259834743,19664.887266955,20357.5641113569,20085.2789099799,22368.5964989303,21615.9496683827,19023.9498060647,20952.8266054858,21089.316779286,21545.5344822431,22081.1381257558,20702.1130367064,21899.4884048905,22406.6020538628,22523.1766411004,22516.7346293999,21933.0445299899,23695.5217148448,23590.9803031471,23006.6166732577,21621.7041957612,22169.4124221215,23220.5047090291,15143.7537593576,18140.1552653097,17540.9080568236,20514.6500749487,21028.2734246583,19956.6621720324,18509.2662252107,20316.7879023301,19630.5543317065,8.43893758147624,6.98769780375096
,39,18900.3020503548,20019.6471153979,20687.7403561522,20405.7852825541,22606.9636982523,21824.6374278822,19292.7942174891,21278.9178092205,21455.4420558302,21926.5815436812,22587.0705282488,21228.4139948639,22686.3178986579,23238.1651413777,22860.3063550746,22911.9864261257,22427.0390174829,24266.4481781161,24177.5194268249,23562.1158399443,22408.3559019664,22962.9560492926,23701.8181419418,15580.7742727429,19093.7382512338,18969.3831404032,20863.3917068742,21485.779320342,20246.3316251933,18775.9137006169,20785.9944317295,20076.8375116574,5.16627688692915,4.29411518345387
,40,19157.6243423391,20281.9333129221,20939.9703761214,20643.8250272006,22784.876502735,21970.0325035283,19482.5928682888,21523.5153912436,21719.3201032603,22197.8222725212,22945.6782256809,21609.7584093279,23269.3785550178,23858.5836981655,23094.4719604903,23192.1621145351,22784.8442870859,24679.1233415361,24599.2405734077,23958.1571623872,22992.5681266988,23557.5114649949,24038.1109311311,15885.5264230469,19798.082586311,20029.7028228528,21097.3535124334,21823.8062618569,20437.5183348834,18959.089498239,21113.0833575386,20385.6098142139,3.30529688405659,-4.84980425644244
